,pid,lname,fname,birthcity,birthcountry,coach,birthdate,age,nationality,height,weight,playhand,backhand,proyear,active
217,db59,Novak,Dennis,Wiener Neustadt,Austria,Gunter Bresnik,1993-08-28,30,Austria,183,81,R,2,2011,A
218,df88,Dougaz,Aziz,La Marsa,Tunisia,,1997-03-26,26,Tunisia,188,82,L,2,2020,A
219,hb48,Hemery,Calvin,Les Lilas,France,Christophe Couprie ,1995-01-28,29,France,191,83,R,2,2013,A
220,ta29,Trungelliti,Marco,Santiago del Estero,Argentina,"Albert Portas, Jean-Baptiste Poux",1990-01-31,34,Argentina,178,80,R,2,2008,A
221,r975,Raonic,Milos,Podgorica,Montenegro,Mario Tudor,1990-12-27,33,Canada,196,98,R,2,2008,A
222,t09x,Tabur,Clement,,,Olivier Malcor ,2000-01-24,24,France,173,73,R,2,,A
223,kc04,Kovalik,Jozef,Bratislava,Slovakia,Boris Borgula,1992-11-04,31,Slovak Republic,183,82,R,2,2010,A
224,p0ct,Passaro,Francesco,Perugia,Italy,Roberto Tarpani,2001-01-07,23,Italy,180,81,R,2,2019,A
225,j553,Jasika,Omar,Melbourne Victoria,Australia, Admir Jasika -Mitch,1997-05-18,26,Australia,183,60,L,2,,A
226,me89,Marchenko,Illya,Dneprodzerzhinsk,Ukraine,Filip Havaj,1987-09-08,36,Ukraine,185,87,R,2,2006,A
227,n0cs,Neumayer,Lukas,Salzburg,Austria,"Gerald Kamitz, Gunther Bresnik",2002-09-06,21,Austria,183,70,R,2,2021,A
228,s0nv,Shelbayh,Abdullah,,,Adrien Vaseux,2003-11-16,20,Jordan,180,73,L,2,,A
229,m0if,Maestrelli,Francesco,Pisa,Italy,Gabrio Castrichella,2002-12-21,21,Italy,196,78,R,2,2020,A
230,cg94,Couacaud,Enzo,Curepipe,Mauritius,,1995-03-01,28,France,183,78,R,2,2013,A
231,kc33,Kuzmanov,Dimitar,Plovdiv,Bulgaria,Stefan Rangelov,1993-07-28,30,Bulgaria,183,77,R,2,2009,A
232,g983,Giannessi,Alessandro,La Spezia,Italy,Flavio Cipolla,1990-05-30,33,Italy,185,82,L,2,2008,A
233,h09f,Hsu,Yu Hsiou,Yuanlin,Chinese Taipei,Hsiao-Yung Chang,1999-04-02,24,Chinese Taipei,178,75,R,2,2016,A
234,y268,Ymer,Mikael,Skovde,Sweden,Daniel Berta,1998-09-09,25,Sweden,183,75,R,2,2015,A
235,kh56,Kolar,Zdenek,Bystrice nad Pernstejnem,CZE,Zdenek Kolar Sr.,1996-10-09,27,Czech Republic,183,79,R,2,2014,A
236,w857,Wu,Tung-Lin,Taichung,Chinese Taipei,"Tsai Chia Yen, Ezra Stump",1998-05-12,25,Chinese Taipei,188,81,R,2,2016,A
237,s0n0,Schoolkate,Tristan,,,Andrew Roberts,2001-02-26,22,Australia,183,83,R,0,,A
238,h0du,Heide,Gustavo,,,"Haroldo Zwetsch Jr, Gesner Menegucci",2002-02-28,21,Brazil,188,73,R,2,,A
239,li03,Lavagno,Edoardo,,,Bondaz Laurent ,1998-07-27,25,Italy,185,76,L,2,,A
240,j386,Johnson,Steve,Orange,CA,"Peter Smith, Marc Lucero",1989-12-24,34,United States,188,86,R,2,2012,A
241,w0bh,Wong,Coleman,,,James Allemby ,2004-06-06,19,Hong Kong,191,80,R,2,,A
242,b0ej,Boyer,Tristan,,,,2001-04-21,22,United States,185,86,R,2,,A
243,s0aq,Shimizu,Yuta,Konan,Japan,,1999-06-09,24,Japan,163,62,L,2,,A
244,pj74,Poullain,Lucas,,,,1995-12-05,28,France,175,68,R,2,,A
245,m0ht,Moro Canas,Alejandro,,,David Flores ,2000-12-07,23,Spain,183,78,R,2,,A
246,a0ab,Andreev,Adrian,Sofia,Bulgaria,,2001-05-12,22,Bulgaria,180,66,R,2,2016,A
247,be90,Berankis,Ricardas,Vilnius,Lithuania,"Janko Tipsarevic, Dirk Hordorff ",1990-06-21,33,Lithuania,175,77,R,2,2007,A
248,u134,Uchiyama,Yasutaka,Sapporo,Japan,Kentaro Masuda,1992-08-05,31,Japan,183,78,R,2,2011,A
249,wb32,Wu,Yibing,Hangzhou,China,Marcos Baghdatis,1999-10-14,24,China,183,80,R,2,2017,A
250,r0go,Rocha,Henrique,,,Rui Machado ,2004-04-06,19,Portugal,180,80,R,2,,A
251,dc48,Dellien,Murkel,,,Blengino Academy ,1997-09-16,26,Bolivia,193,83,R,2,,A
252,bi47,Bonadio,Riccardo,San Vito al Tagliamento,Italy,Manuel Gasbarri,1993-07-13,30,Italy,180,78,R,1,,A
253,k0hc,Kasnikowski,Maks,,,Alex Bury,2003-07-06,20,Poland,178,78,R,2,,A
254,fa43,Ficovich,Juan Pablo,Buenos Aires,Argentina,Juan Pablo Gandara,1997-01-24,27,Argentina,188,78,R,2,2015,A
255,j620,Janvier,Maxime,Creil,France,Olivier Bardeau,1996-10-18,27,France,196,85,R,2,2014,A
256,gh33,Guinard,Manuel,Saint-Malo,France,Sebastien Villette,1995-11-15,28,France,198,82,R,2,2016,A
257,ml57,Mager,Gianluca,Sanremo,Italy,"Matteo Civarolo, Flavio Cipolla",1994-12-01,29,Italy,188,77,R,2,2013,A
258,i0a7,Ionel,Nicholas David,,,Andrei Pavel,2002-10-12,21,Romania,185,73,R,2,,A
259,j380,Jung,Jason,Torrance,CA,Oliver Messerli,1989-06-15,34,Chinese Taipei,180,69,R,2,2011,A
260,bk19,Bourgue,Mathias,Avignon,France,Marc Gicquel ,1994-01-18,30,France,188,83,R,2,,A
261,a887,Andreozzi,Guido,Buenos Aires,Argentina,Gaston Etlis,1991-08-05,32,Argentina,183,78,R,2,2010,A
262,bi81,Bolt,Alex,Murray Bridge,Australia,Rohan Williams,1993-01-05,31,Australia,183,71,L,2,2011,A
263,k0e6,Kachmazov,Alibek,Vladikavkaz,North-Ossetia,,2002-08-17,21,Russia,185,78,R,0,,A
264,f0dm,Fery,Arthur,Sèvres,France,Benoit Foucher,2002-07-12,21,Great Britain,175,76,R,2,,A
265,s0ti,Sekulic,Philip,,,Tomo Sekulic,2003-09-05,20,Australia,191,82,R,2,,A
266,bp41,Bellier,Antoine,Geneva,Switzerland,Jean-Rene Lisnard,1996-10-18,27,Switzerland,196,83,L,1,2014,A
267,o0a2,Onclin,Gauthier,,,Steve Darcis,2001-02-26,22,Belgium,180,77,R,2,,A
268,mw54,Madaras,Dragos Nicolae,Deva,Romania,,1997-09-12,26,Sweden,191,85,L,2,,A
269,r0eb,Royer,Valentin,,,Julien Gillet,2001-05-29,22,France,188,86,R,2,,A
270,sl08,Sandgren,Tennys,Gallatin,TN,,1991-07-22,32,United States,188,88,R,2,2011,A
271,dg80,Dalla Valle,Enrico,,,Giorgio Galimberti ,1998-03-21,25,Italy,196,90,R,2,,A
272,s0gr,Skatov,Timofey,Petropavlovsk,Kazakhstan,Jose Altur,2001-01-21,23,Kazakhstan,175,72,R,2,2019,A
273,e698,Elias,Gastao,Lourinha,Portugal,Luis Guilherme Balboa,1990-11-24,33,Portugal,180,76,R,2,2008,A
274,d864,Donskoy,Evgeny,Moscow,Russia,,1990-05-09,33,Russia,185,75,R,2,2007,A
275,fc49,Fonio,Giovanni,,,"Pietro Rondoni, Matteo Sacchi",1998-05-07,25,Italy,183,78,R,1,,A
276,h09p,Holt,Brandon,Rolling Hills,CA,,1998-04-06,25,United States,185,82,R,2,2020,A
277,bu54,Blancaneaux,Geoffrey,Paris,France,Maximilien Blancaneaux,1998-08-08,25,France,180,75,R,2,2016,A
278,s0ak,Squire,Henri,,,Andy Fitzell,2000-09-27,23,Germany,196,82,R,2,,A
279,gg65,Geerts,Michael,Antwerp,Belgium,Fred Hemmes,1995-01-17,29,Belgium,178,72,R,2,,A
280,sh90,Sousa,Joao,Guimaraes,Portugal,Frederico Marques,1989-03-30,34,Portugal,185,74,R,2,2008,A
281,o376,Olivo,Renzo,Rosario,Argentina,"Javier Nalbandian, Franco Squillari",1992-03-15,31,Argentina,178,75,R,2,2009,A
282,s0gz,Sanchez Izquierdo,Nikolas,,,,1999-03-15,24,Spain,185,77,R,2,,A
283,v708,Vesely,Jiri,Pribram,Czech Republic,Emanuel Rehola,1993-07-10,30,Czech Republic,198,94,L,2,2009,A
284,cc66,Collarini,Andrea,New York,NY,Juan Martin Aranguren ,1992-01-31,32,Argentina,183,78,L,2,2010,A
285,lc11,Lamasine,Tristan,Thiais,France,Georges Bell,1993-03-05,30,France,183,69,R,2,2010,A
286,o449,Otte,Oscar,Cologne,Germany,Peter Moraing,1993-07-16,30,Germany,193,79,R,2,2011,A
287,q02l,Quinn,Ethan,Fresno,California,"Brad Stine, Nick Papac",2004-03-12,19,United States,191,82,R,2,2023,A
288,i186,Isner,John,Greensboro,NC,Philip Farmer,1985-04-26,38,United States,208,108,R,2,2007,A
289,pf39,Pouille,Lucas,Grande-Synthe,France,"Thierry Ascione, Nicolas Renavand",1994-02-23,30,France,185,84,R,2,2012,A
290,ea13,Echargui,Moez,La Marsa,Tunisia,"Paolo Moretti, Marco Brigo",1993-01-10,31,Tunisia,178,72,R,2,,A
291,kd35,Kwiatkowski,Thai-Son,Charlotte,NC,Carlos Benatzky,1995-02-13,29,United States,188,81,R,2,2017,A
292,h09n,Holmgren,August,Espergaerde,Denmark,"Jonas Svendsen, Ryan Keckley",1998-04-22,25,Denmark,188,84,R,1,2022,A
293,kc12,Krueger,Mitchell,Fort Worth,TX,Craig Kardon,1994-01-12,30,United States,188,82,R,2,2012,A
294,g0dh,Guillen Meza,Alvaro,,,,2003-01-02,21,Ecuador,175,73,R,2,,A
295,sm09,Saville,Luke,Barmera,Australia,Rohan Williams ,1994-01-02,30,Australia,188,83,R,2,2012,A
296,m0e1,Michalski,Daniel,Warsaw,Poland,Aleksander Charpantidis,2000-01-11,24,Poland,180,77,R,2,2018,A
297,m0bn,Moeller,Marvin,Hamburg,Germany,,1999-01-18,25,Germany,178,69,R,2,,A
298,ca99,Copil,Marius,Arad,Romania,Andrei Mlendea,1990-10-17,33,Romania,191,87,R,1,2008,A
299,ta46,Tomic,Bernard,Stuttgart,Germany,Sara Tomic,1992-10-21,31,Australia,196,91,R,2,2008,A
300,bv25,Barranco Cosano,Javier,Almeria,Spain,Juan Pablo Cañas,1998-11-17,25,Spain,178,70,L,2,,A
301,wb19,Weis,Alexander,Bolzano,Italy,,1997-04-24,26,Italy,188,83,R,2,,A
302,d0dp,Draxl,Liam,,,,2001-12-05,22,Canada,185,79,R,2,,A
303,p0df,Pucinelli De Almeida,Matheus,Campinas,Brazil,João Zwetsch ,2001-04-01,22,Brazil,183,78,R,2,,A
304,m0nb,Mayo,Aidan,,,,2003-05-14,20,United States,183,75,R,0,,A
305,a09t,Added,Dan,Strasbourg,France,,1999-04-13,24,France,183,75,R,2,,A
306,v0di,Vincent Ruggeri,Samuel,,,Roberto Ruggeri ,2002-05-22,21,Italy,191,85,R,2,,A
307,d916,Diez,Steven,Toronto,Canada,Marcos Roy,1991-03-17,32,Canada,175,76,R,2,2009,A
308,t0ap,Tseng,Chun-Hsin,Taipei,Chinese Taipei,Benjamin Ebrahimzadeh,2001-08-08,22,Chinese Taipei,175,65,R,2,2019,A
309,pg20,Popko,Dmitry,St. Petersburg,Russia,Ilya Drozdov,1996-10-24,27,Kazakhstan,191,87,R,2,2011,A
310,hf80,Habib,Hady,Houston,TX,,1998-08-21,25,Lebanon,188,88,R,2,,A
311,b0gr,Bueno,Gonzalo,Trujillo,Peru,"Luis Horna, Patricio Reynoso",2004-04-03,19,Peru,173,73,R,2,,A
312,r0a7,Reis Da Silva,Joao Lucas,Recife,Pernambuco,Arthur Rabelo ,2000-03-26,23,Brazil,178,75,R,2,,A
313,b0pg,Blockx,Alexander,,,Philippe Cassiers,2005-04-08,18,Belgium,191,78,R,2,,A
314,p0e9,Palan,Dominik,,,,2000-09-30,23,Czech Republic,191,85,R,2,,A
315,f664,Fanselow,Sebastian,,,,1991-12-30,32,Germany,,,R,0,,A
316,b0i5,Bicknell,Blaise,,,Melville Spence,2001-11-26,22,Jamaica,191,82,R,2,,A
317,v0b2,Vrbensky,Michael,Nymburk,Czech Republic,Dusan Karol,1999-12-26,24,Czech Republic,,,R,2,,A
318,i306,Ilkel,Cem,Istanbul,Turkiye,Gavin Hopper,1995-08-21,28,Turkiye,185,81,R,2,2013,A
319,sp80,Serdarusic,Nino,Zagreb,Croatia,Filip Serdarusic ,1996-12-13,27,Croatia,191,85,R,2,2014,A
320,lc12,Lokoli,Laurent,Bastia,France,Walter Grunfeld Tennis Academy (WGTA),1994-10-18,29,France,188,78,R,2,,A
321,n663,Neuchrist,Maximilian,,,,1991-07-22,32,Austria,,,R,2,,A
322,c0bh,Chidekh,Clement,Arles,France,"Matt Anger, Lionel Zimbler, Martin Vaisse",2001-06-13,22,France,180,75,R,2,2022,A
323,p0ev,Paulson,Andrew,,,,2001-11-16,22,Czech Republic,191,85,R,2,,A
324,ki48,Kirkin,Ergi,Ankara,Turkiye,,1999-01-27,25,Turkiye,180,77,R,2,,A
325,bv24,Brancaccio,Raul,Torre del Greco,Italy,Ciro Figaro,1997-05-04,26,Italy,185,73,R,2,,A
326,j476,Jorda Sanchis,David,Barcelona,Spain,Alex Lopez Moron,1994-06-14,29,Spain,198,86,R,2,,A
327,h0a4,Hardt,Nick,,,IMG Academy,2000-09-20,23,Dominican Republic,183,84,R,2,,A
328,ce25,Caruso,Salvatore,Avola,Italy,Paolo Cannova,1992-12-15,31,Italy,185,80,R,2,2010,A
329,s0ar,Stodder,Timo,,,,1996-05-17,27,Germany,180,73,R,0,,A
330,m0oq,McCabe,James,Iba Zambales,Philippines,Patrick McCabe,2003-07-05,20,Australia,188,82,R,2,,A
331,e0ac,Erhard,Mathys,,,Thierry Guardiola,2001-10-26,22,France,188,83,R,2,,A
332,sr81,Sultanov,Khumoyun,,,Onarkhon Savaeva ,1998-10-27,25,Uzbekistan,180,80,R,2,,A
333,n09u,Noguchi,Rio,Fukuoka,Japan,Hiroyuki Kojima,1998-12-28,25,Japan,168,63,R,2,,A
334,g0eu,Gill,Felix,,,Morgan Phillips,2002-06-01,21,Great Britain,175,80,L,2,,A
335,sl94,Sakamoto,Pedro,Guarulhos,Brazil,Arthur Andrade,1993-06-29,30,Brazil,178,80,R,2,2009,A
336,e0aa,Erel,Yanki,,,Anil Yuksel,2000-09-25,23,Turkiye,178,73,L,2,,A
337,n0bk,Naw,Hazem,,,Amer Naow,2000-01-01,24,Syria,183,77,R,2,,A
338,j09x,Jianu,Filip Cristian,,,----------,2001-09-18,22,Romania,180,78,R,2,,A
339,gc89,Gerasimov,Egor,Minsk,Belarus,,1992-11-11,31,Belarus,196,86,R,2,2010,A
340,d874,Delbonis,Federico,Azul,Argentina,Mariano Hood,1990-10-05,33,Argentina,193,90,L,2,2007,A
341,d0h9,Den Ouden,Guy,,,Marcel Vos,2002-04-08,21,Netherlands,183,75,R,2,,A
342,s0gv,Strombachs,Robert,,,Armand Strombach,1999-09-15,24,Latvia,191,78,R,0,,A
343,f0fv,Fonseca,Joao,,,Guilherme Teixeira,2006-08-21,17,Brazil,185,73,R,2,,A
344,gb93,Gombos,Norbert,Galanta,Slovakia,Tibor Toth,1990-08-13,33,Slovak Republic,193,85,R,2,2009,A
345,k0eu,Kodat,Toby,Bradenton,FL,Ales Kodat,2003-01-13,21,United States,178,73,R,1,,A
346,f0a4,Forti,Francesco,Cesena,Italy,Giorgio Galimberti,1999-07-26,24,Italy,188,80,R,2,2018,A
347,bv21,Broom,Charles,,,,1998-04-24,25,Great Britain,178,82,R,2,,A
348,c0b2,Cretu,Cezar,,,Victor Hanescu,2001-04-24,22,Romania,188,83,R,2,,A
349,d0hd,Debru,Gabriel,,,Boris Vallejo,2005-12-21,18,France,193,78,R,2,,A
350,mi01,Moriya,Hiroki,Tokyo,Japan,"Oscar Hernandez, Bruno Alcala",1990-10-16,33,Japan,168,65,R,2,,A
351,m0cw,McHugh,Aidan,Glasgow,Scotland,,2000-07-09,23,Great Britain,180,70,R,1,,A
352,gj16,Gomez,Federico Agustin,,,,1996-11-26,27,Argentina,191,95,R,2,,A
353,n552,Nishikori,Kei,Shimane,Japan,"Michael Chang, Max Mirnyi",1989-12-29,34,Japan,178,73,R,2,2007,A
354,s0mn,Sharipov,Marat,Cheboksary,Russia,,2002-10-09,21,Russia,188,77,R,2,,A
355,lc54,Lock,Benjamin,Harare,Zimbabwe,"Freeman Nyamunokora, Albert Portas ",1993-03-04,30,Zimbabwe,198,86,R,2,,A
356,sn54,Ferreira Silva,Frederico,Caldas da Rainha,Portugal,Pedro Felner,1995-03-18,28,Portugal,178,74,L,2,2013,A
357,h0cx,Houkes,Max,,,Colin van Beem,2000-07-03,23,Netherlands,188,78,L,2,,A
358,g0fw,Gaubas,Vilius,,,,2004-12-29,19,Lithuania,178,72,R,2,,A
359,k0cz,Klier Junior,Gilbert,Brasilia,Brazil,Arthur Rabelo,2000-05-16,23,Brazil,183,78,R,2,,A
360,v0d4,Vanshelboim,Eric,,,Rune Haertell Thomsen,2001-07-15,22,Ukraine,188,87,R,1,,A
361,i0ap,Ivanovski,Kalin,,,Luka Kutanjac,2004-05-11,19,North Macedonia,196,85,R,2,,A
362,k0ee,Kumar,Omni,Mountain View,CA,Puneet Kumar,2001-10-10,22,United States,175,72,L,1,,A
363,sk47,Safwat,Mohamed,Mansoura,Egypt,Gilbert Schaller ,1990-09-19,33,Egypt,180,83,R,2,2008,A
364,c0mh,Campana Lee,Gerard,,,,2004-10-01,19,South Korea,180,85,R,2,,A
365,ch05,Celikbilek,Altug,Antalya,Turkiye,Tobias Hinzmann,1996-09-07,27,Turkiye,183,73,R,2,2015,A
366,cg07,Casanova,Hernan,Buenos Aires,Argentina,"Jorge Bernard, Juan Martin Aranguren",1994-02-06,30,Argentina,178,76,R,2,,A
367,m0k4,Moller,Elmer,,,Jacob Holst & Frederik Nielsen,2003-07-09,20,Denmark,183,73,R,2,,A
368,w0a4,Weber,Arthur,,,,1992-05-09,31,France,185,77,L,2,,A
369,be69,Bai,Yan,Nanjing,China,,1989-05-21,34,China,185,80,R,2,,A
370,lf26,Luz,Orlando,Carazinho,Brazil,Jose Luis Lopez,1998-02-08,26,Brazil,180,78,R,2,,A
371,hh15,Haliak,Mikalai,Minsk,Belarus,,1998-08-14,25,Belarus,183,75,R,2,,A
372,f09j,Friberg,Karl,Orebro,Sweden,,1999-03-25,24,Sweden,191,85,R,2,,A
373,ga79,Giustino,Lorenzo,Naples,Italy,Jose Maria Diaz,1991-09-10,32,Italy,180,80,R,2,2007,A
374,m0ea,Martin Tiffon,Pol,,,Josep Mª Arenas,1999-07-30,24,Spain,183,73,R,2,,A
375,n707,Nakagawa,Naoki,Fukuoka,Japan,Kenichi Nakagawa,1996-11-19,27,Japan,180,75,R,2,,A
376,ch90,Chung,Yun seong,Seoul,South Korea,Jean-Luc Fontanot,1998-03-27,25,South Korea,178,78,R,2,2017,A
377,h0eh,Handel,Tim,,,"Marek Kimla, Bastian Suwanprateep",1996-10-18,27,Germany,188,83,R,1,,A
378,s0cg,Sanchez Jover,Carlos,Albacete,Spain,Juan Manuel Esparcia,2000-07-21,23,Spain,173,65,L,2,,A
379,wb25,Wessels,Louis,Bielefeld,Germany,Dirk Wessels,1998-08-27,25,Germany,198,90,R,2,,A
380,t0fi,Topo,Marko,Grafelfing,Germany,Dejan Petrovic,2003-09-13,20,Germany,185,81,R,2,2021,A
381,bu36,Barroso Campos,Alberto,,,Francisco Rubio and Pepe Juarez,1996-06-04,27,Spain,178,72,R,2,,A
382,w09b,Wenger,Damien,,,Lionel Grossenbacher,2000-03-17,23,Switzerland,173,68,R,2,,A
383,gj05,Gautier,Alexis,,,,1997-04-07,26,France,198,75,R,0,,A
384,sq80,Santillan,Akira,Tokyo,Japan,Marinko Matosevic ,1997-05-22,26,Australia,180,78,R,1,2013,A
385,cf10,Chappell,Nick,Toronto,Canada,"Hector Clavijo, Devin Bowen ",1992-09-19,31,United States,178,82,L,2,,A
386,l0cf,Loffhagen,George,London,Great Britain,,2001-04-19,22,Great Britain,188,83,R,2,,A
387,k0fy,Krumich,Martin,,,,2002-12-26,21,Czech Republic,188,82,R,0,,A
388,bm05,Bobrov,Bogdan,,,"Schaller, Galic",1997-09-16,26,Russia,185,74,R,1,,A
389,d0ar,Alves,Mateus,Sao Jose do Rio Preto,Brazil,"Duda Matos, Arthur Rabelo",2001-01-23,23,Brazil,193,88,R,2,2018,A
390,b0jg,Borg,Leo,Stockholm,Sweden,"Christian Brydniak, Rickard Billing",2003-05-15,20,Sweden,183,77,R,2,,A
391,f0f2,Faria,Jaime,,,,2003-08-06,20,Portugal,188,78,R,0,,A
392,k0dp,Krutykh,Oleksii,,,,2000-03-10,23,Ukraine,185,78,R,2,,A
393,t0bw,Trotter,James,,,Ty Tucker,1999-07-29,24,Japan,183,75,R,0,,A
394,te16,Taberner,Carlos,Valencia,Spain,Gtennis Academy,1997-08-08,26,Spain,183,78,R,2,2015,A
395,li10,Langmo,Christian,,,Stanford Boster ,1996-06-01,27,United States,191,91,R,2,,A
396,bu70,Bertola,Remy,,,"Fabio Chiappini, Marco Brigo",1998-08-31,25,Switzerland,175,75,R,1,,A
397,o639,Oradini,Giovanni,,,,1997-09-14,26,Italy,188,85,L,0,,A
398,ea27,Ellis,Blake,,,Brent Larkham,1999-01-06,25,Australia,191,85,R,2,,A
399,l0il,Landaluce,Martin,Madrid,Spain,"Oscar Burrieza, Gustavo Marcaccio, Esteban Carril",2006-01-08,18,Spain,191,80,R,2,,A
400,e831,Edmund,Kyle,Johannesburg,South Africa,Colin Beecher,1995-01-08,29,Great Britain,188,83,R,2,2012,A
401,m0n7,Merida,Daniel,Madrid,Spain,CLUB ATLETICO MONTEMAR,2004-09-26,19,Spain,188,80,R,2,,A
402,ml73,Mansouri,Skander,Tunis,Tunisia,Bresky Tony,1995-07-23,28,Tunisia,193,86,R,2,,A
403,mm79,Mott,Blake,Caringbah,Australia,Adam Kennedy ,1996-04-21,27,Australia,180,77,R,2,,A
404,tf58,Takahashi,Yusuke,Kanagawa,Japan,Yuma Tsuji,1997-10-17,26,Japan,170,68,R,2,2016,A
405,k0db,Kingsley,Cannon,,,,2001-05-06,22,United States,188,75,R,2,,A
406,u120,Uchida,Kaichi,,,Norberto Valsecchi,1994-08-23,29,Japan,180,,R,2,2012,A
407,rb56,Ramanathan,Ramkumar,Chennai,India,"Juan Balcells,Emilio Sanchez Viccario",1994-11-08,29,India,188,81,R,2,2009,A
408,ci14,Clarke,Jay,Derby,England,Ariana Saki,1998-07-27,25,Great Britain,183,83,R,2,2016,A
409,z246,Zekic,Miljan,Belgrade,Serbia,Slobodan Vojinovic,1988-07-12,35,Serbia,185,79,R,2,,A
410,f0f4,Feldbausch,Kilian,,,Cathy Feldbausch-Caverzasio,2005-09-07,18,Switzerland,191,73,R,2,,A
411,kg27,Kirchheimer,Strong,Highland Park,Illinois,"Robert Kirchheimer, Arvid Swan ",1995-04-26,28,United States,185,79,R,0,,A
412,t0dm,Torres,Juan Bautista,,,Mauro Aprile,2002-04-02,21,Argentina,178,73,R,2,,A
413,b0gy,Barrena,Alex,,,Max Barrena,2002-10-10,21,Argentina,175,68,R,2,,A
414,va23,Van Wyk,Kris,,,Federico Coppini,1996-09-29,27,South Africa,185,77,R,2,,A
415,bv27,Blanch,Ulises,,,Fran Martinez,1998-03-25,25,United States,188,78,R,2,2016,A
416,j0a4,Jubb,Paul,York,England,,1999-10-31,24,Great Britain,180,72,R,2,2020,A
417,kb05,Krajinovic,Filip,Sombor,Serbia,,1992-02-27,31,Serbia,185,75,R,2,2008,A
418,mn20,Masur,Daniel,Bueckeburg,Germany,Lars Uebel,1994-11-06,29,Germany,183,78,R,2,2013,A
419,r09v,Ribeiro,Eduardo,,,,1998-03-17,25,Brazil,178,75,R,2,,A
420,o674,Oliel,Yshai,Ramla,Israel,Amos Mansdorf,2000-01-05,24,Israel,188,78,L,2,,A
421,g967,Gojowczyk,Peter,Munich,Germany,Kristoffer Schimpf,1989-07-15,34,Germany,188,83,R,2,2006,A
422,mp13,Sasikumar,Mukund,Chennai,India,Martin Spottel,1997-01-14,27,India,185,78,R,2,,A
423,t0ha,Tien,Learner,Irvine,CA,Eric Diaz,2005-12-02,18,United States,180,73,L,2,2023,A
424,u176,Ursu,Vadym,Kiev,Ukraine,Jan Kroslak,1997-01-01,27,Ukraine,180,71,R,2,,A
425,m0aw,Mejia,Nicolas,Bogota,Colombia,"Juan Mateus, Ivan Molina, Juan Pablo Sánchez ",2000-02-11,24,Colombia,183,79,R,2,2019,A
426,sq79,Sinclair,Colin,,,"Ian Malpass, Jeff Race, Silviu Tanasoiu",1994-12-19,29,Northern Mariana Islands,188,82,R,2,,A
427,z09d,Zuk,Kacper,Nowy Dwor Mazowiecki,Poland,Artur Zuk,1999-01-21,25,Poland,183,77,R,2,2016,A
428,c0jp,Collignon,Raphael,Rochester,Olmsted,Steve Darcis ,2002-01-13,22,Belgium,191,86,R,2,,A
429,gf23,Gerch,Lucas,,,,1994-12-20,29,Germany,193,86,L,0,,A
430,l0c1,Lopez Montagud,Carlos,,,,2000-07-06,23,Spain,180,77,R,2,,A
431,g0j9,Gulin,Svyatoslav,,,,2002-12-04,21,Russia,178,80,R,2,,A
432,f0bt,Forejtek,Jonas,,,Slava Dosedel,2001-03-10,22,Czech Republic,183,75,R,2,,A
433,v821,Villanueva,Gonzalo,Parana,Argentina,,1995-01-13,29,Argentina,175,70,R,2,,A
434,k0ep,Kym,Jerome,Rheinfelden,Switzerland,Markus Hipfl,2003-02-12,21,Switzerland,198,87,R,2,2019,A
435,c0i4,Colson,Tibo,,,,2000-07-12,23,Belgium,196,93,R,2,,A
436,d0a2,Dellavedova,Matthew,Wonga Park,Australia,Peter Dellavedova / Drew Reed,2000-05-30,23,Australia,191,81,R,1,,A
437,o507,Ocleppo,Julian,,,Mimmo Piazza ,1997-08-01,26,Italy,191,90,R,2,,A
438,cd00,Chazal,Maxime,,,"Florian Reynet, Rodolphe Cadart",1993-04-24,30,France,175,72,R,1,,A
439,dc76,Durasovic,Viktor,Orkdal,Norway,Fredrik Loven,1997-03-19,26,Norway,185,80,R,2,2016,A
440,b0nn,Basavareddy,Nishesh,,,Bryan Smith,2005-05-02,18,United States,180,70,R,2,,A
441,cf88,Cid Subervi,Roberto,,,,1993-08-30,30,Dominican Republic,193,82,R,2,,A
442,df92,Denolly,Corentin,Vienne,France,Olivier Ramos,1997-06-06,26,France,188,79,L,2,2015,A
443,e811,Ejupovic,Elmar,Wolfsburg,Germany,Manuel Gasbarri ,1993-02-01,31,Germany,193,90,R,1,,A
444,sx90,Sun,Fajing,Beijing ,China,Juan Manuel Esparcia ,1996-10-03,27,China,178,75,R,2,,A
445,b0jj,Bertrand,Robin,,,,2003-03-15,20,France,178,70,R,0,,A
446,ra51,Rola,Blaz,Ptuj,Slovenia,David Kass,1990-10-05,33,Slovenia,193,85,L,2,2013,A
447,c0hb,Coulibaly,Eliakim,,,,2002-05-05,21,Ivory Coast,183,80,L,2,,A
448,o664,Ochi,Makoto,Akashi,Hyogo,,1996-05-03,27,Japan,175,65,L,2,,A
449,g0ix,Gea,Arthur,,,Tarik benhabiles,2005-01-02,19,France,180,72,R,2,,A
450,b0id,Buse,Ignacio,,,,2004-03-25,19,Peru,183,73,R,2,,A
451,b0fi,Boscardin Dias,Pedro,Joinville,Brazil,,2003-01-28,21,Brazil,180,75,R,2,,A
452,k0ho,Kimhi,Orel,,,Yonatan kruveni ,2003-08-19,20,Israel,173,65,R,2,,A
453,k0cj,Kopp,Sandro,,,,2000-05-26,23,Austria,185,76,R,2,,A
454,g0gw,Gueymard Wayenburg,Sascha,,,Lionel Zimbler,2003-08-01,20,France,188,80,R,2,,A
